#SampleID,observed_features
BaP_0965_65,9
BaP_0966_66,10
BaP_0967_67,12
BaP_0968_68,9
BaP_0969_69,10
BaP_0970_70,15
BaP_0971_71,11
BaP_0972_72,11
BaP_1009_73,7
BaP_1010_74,6
BaP_1011_75,6
BaP_1012_76,4
BaP_1013_77,5
BaP_1014_78,7
BaP_1015_79,7
BaP_1016_80,12
BaP_1017_81,9
BaP_1018_82,12
BaP_1019_83,11
BaP_1020_84,6
BaP_1021_85,7
BaP_1022_86,8
BaP_1023_87,7
BaP_1024_88,12
BaP_1025_89,12
BaP_1026_90,6
BaP_1027_91,9
BaP_1028_92,7
BaP_1029_93,8
BaP_1030_94,11
BaP_1031_95,11
BaP_1032_96,10
BaP_1033_97,8
BaP_1034_98,8
BaP_1035_99,8
BaP_1036_100,11
BaP_1037_101,8
BaP_1038_102,13
BaP_1039_103,6
BaP_1040_104,8
BaP_1041_105,10
BaP_1042_106,12
BaP_1043_107,6
BaP_1044_108,11
BaP_1081_109,9
BaP_1082_110,12
BaP_1083_111,6
BaP_1084_112,15
BaP_1085_113,7
BaP_1086_114,13
BaP_1087_115,8
BaP_1088_116,12
BaP_1089_117,11
BaP_1090_118,16
BaP_1091_119,7
BaP_1092_120,11
BaP_1093_121,10
BaP_1094_122,8
BaP_1095_123,7
BaP_1096_124,10
BaP_1097_125,14
BaP_1098_126,9
BaP_1099_127,12
BaP_1100_128,13
BaP_1101_129,10
BaP_1102_130,15
BaP_1103_131,14
BaP_1104_132,6
BaP_1105_133,12
BaP_1106_134,12
BaP_1107_135,10
BaP_1108_136,13
BaP_1109_137,7
BaP_1110_138,13
BaP_1111_139,8
BaP_1112_140,8
BaP_1113_141,7
BaP_1114_142,12
BaP_1115_143,10
BaP_1116_144,18
